anchor,homophones,synonyms,phon_dist,graph_dist
ˈɹ e ɪ z,ˈɹ e ɪ z,ˈb u s t,ˈb e ɪ z,ˈb ɹ e ɪ z
ˈɹ i k,ˈw ɹ i k,ˈf e ɪ t ɝ,ˈb i k,ˈɑ ɹ i k
ˈw ɹ ɛ t ʃ,ˈɹ ɛ t ʃ,ˈɹ æ s k ə ɫ,ˈk ɹ ɛ t ʃ,ˈɛ t ʃ
ˈɹ ɛ v ˌj u,ˈɹ ɛ v ˌj u,ˈæ n ə ˌɫ ɪ s ɪ s,ˈb ɛ v ˌj u,ˈp ɹ ɛ v ˌj u
ˈɹ a ɪ m,ˈɹ a ɪ m,ˈf ɹ ɔ s t,ˈk a ɪ m,ˈk ɹ a ɪ m
ˈɹ a ɪ t,ˈɹ a ɪ t,ˈk ɔ ɹ ɛ k t,ˈb a ɪ t,ˈɑ ɹ a ɪ t
ˈɹ o ʊ d,ˈɹ o ʊ d,ˈa v ə n ˌj u,ˈb o ʊ d,ˈb ɹ o ʊ d
ˈʐ o ʊ m,ˈɹ o ʊ m,ˈɹ æ m b ə ɫ,ˈk o ʊ m,ˈf o ʊ m
ˈɹ o ʊ ɫ,ˈɹ o ʊ ɫ,ˈæ k t,ˈp o ʊ ɫ,ˈb o ʊ ɫ
ˈɹ u t,ˈɹ u t,ˈf a ʊ n ˈd e ɪ ʃ ə n,ˈb u t,ˈh u t
ˈɹ o ʊ,ˈɹ ə f,ˌɪ ˈɹ ɛ ɡ j ə ɫ ɝ,ˈb o ʊ,ˈb o ʊ
ˈɹ a ʊ t,ˈɹ u t,ˈʃ u ˌt a ʊ t,ˈb a ʊ t,ˈa ʊ t
ˈʐ u,ˈɹ u,ˈɹ ɛ ɡ ɹ ə t,ˈb u,ˈk j u
ˈɹ a ɪ,ˈw ɹ i,ˈɡ ɹ e ɪ n,ˈb a ɪ,ˈa ɪ
ˈs æ k s,ˈs æ k s,ˈf a ɪ ɝ z,ˈf æ k s,ˈh æ k s
ˈs i m,ˈs i m,ˈd ʒ ɔ ɪ n t,ˈb i m,ˈt i m
ˈs ɪ ɹ,ˈs ɪ ɹ,ˈt o ʊ s t,ˈa ɪ ɹ,ˈn ɪ ɹ
ˈs a ɪ z,ˈs i z,ˈk æ t ʃ,ˈc a ɪ z,ˈs a ɪ n
ˈs ɝ d ʒ,ˈs ɝ d ʒ,ˈɪ ŋ ˈk ɹ i s,ˈd ɝ d ʒ,ˈɝ d ʒ
ˈs ɪ k,ˈs ɪ k,ˈɪ ɫ,ˈe ɪ k,ˈɪ k
ˈs a ɪ z,ˈs a ɪ z,d ɪ ˈm ɛ n ʃ ə n z,ˈc a ɪ z,ˈs a ɪ d
ˈs a ɪ n,ˈs a ɪ n,ˌm æ n ə f ə ˈs t e ɪ ʃ ə n,ˈb a ɪ n,ˈs a ɪ
ˈs ɫ e ɪ,ˈs ɫ e ɪ,ə ˈs æ s ə ˌn e ɪ t,ˈp ɫ e ɪ,ˈɫ e ɪ
ˈs ɫ o ʊ,ˈs ɫ o ʊ,ˈɫ ɛ θ ɑ ɹ d ʒ ɪ k,ˈa ɫ o ʊ,ˈb ɫ o ʊ
ˈs w ɑ ɹ,ˈs ɔ ɹ,ˈa s ə n d,ˈʃ w ɑ ɹ,ˈw ɑ ɹ
ˈs ɔ ɹ d,ˈs w ɝ d,ˈɛ s k ə ˌɫ e ɪ t ɪ d,ˈb ɔ ɹ d,ˈw ɔ ɹ d
ˈs ɑ n,ˈs ə n,ˈb ɔ ɪ,ˈb ɑ n,ˈɔ n
ˈs ə n i,ˈs ɑ n i,ˈɫ u m ə n ə s,ˈb ə n i,ˈf ə n i
ˈs t e ɪ k,ˈs t i k,ˈp o ʊ ɫ,ˈs ɫ e ɪ k,ˈs e ɪ k
ˈs t e ɪ ʃ ə ˌn ɛ ɹ i,ˈs t e ɪ ʃ ə n ɝ i,ˈf ɪ k s t,ˌs t e ɪ ʃ ə ˈn ɛ ɹ ə t i,ˈs t e ɪ ʃ ə n ɝ
ˈs t ɹ e ɪ t,ˈs t ɹ e ɪ t,ˈh o ʊ n ə s t,ˈs t ɹ e ɪ d,ˈs t ɹ e ɪ n
ˈs ə m ɝ i,ˈs ə m ɝ i,ˈɛ s ə n s,ˈm ə m ɝ i,ˈn ə m ɝ i
ˈt æ k s,ˈt æ k s,ˌk ɑ n t ɹ ə b ˈj u ʃ ə n,ˈf æ k s,ˈɹ æ k s
ˈt ɪ ɹ,ˈt ɛ ɹ,ˈh o ʊ ɫ,ˈa ɪ ɹ,ˈd ɪ ɹ
ˈt ɔ t,ˈt ɔ t,ˈt a ɪ t,ˈb ɔ t,ˈt æ t
ˈt i m,ˈt i m,ˈk ɹ u,ˈb i m,ˈɹ i m
ˈt i z,ˈt i z,ˈp ɹ ɑ ˌv o ʊ k,ˈb i z,ˈi s
ˈt a ɪ t ə n,ˈt a ɪ t ə n,ˈn ɛ ɹ o ʊ,ˈt ʃ ɪ t ə n,ˈɫ a ɪ t ə n
ˈt o ʊ ɫ d,ˈt o ʊ ɫ d,ˈs e ɪ d,ˈb o ʊ ɫ d,ˈo ʊ ɫ d
ˈt u n,ˈt u n,ˈm ɛ ɫ ə d i,ˈb u n,ˈe ɪ ˈt u n
ˈt ɹ æ k t,ˈt ɹ æ k t,ˈt ɹ e ɪ ɫ d,ˈb ɹ æ k t,ˈk ɹ æ k t
ˈt ɹ u p,ˈt ɹ u p,ˈɑ ɹ m i,ˈt ʃ u p,ˈd ɹ u p
ˈt ɹ ə s t,ˈt ɹ ə s t,ˈk ɑ n f ə d ə n s,ˈɑ ɹ ə s t,ˈk ɹ ə s t
ˈj u z,ˈj u z,ˈj u t ə ˌɫ a ɪ z,ˈb u z,ˈm j u z
ˈv ɛ ɹ i,ˈv ɛ ɹ i,ˈt ʃ e ɪ n d ʒ,ˈb ɛ ɹ i,ˈm ɛ ɹ i
ˈv ɝ s ɪ z,ˈv ɝ s ə s,ˈp o ʊ m z,ˈv ɝ s,ˈɝ s
ˈw a ɪ n,ˈw a ɪ n,ˈa ɫ k ə ˌh ɔ ɫ,ˈb a ɪ n,ˈɫ a ɪ n
